,sum
0,23126599.293696202
1,56722611.97726734
2,33211560.615138326
3,100987114.05040132
4,44808698.02316399
5,26426952.364902142
6,71902911.32499902
7,44164053.27420046
8,40017442.48953688
9,52891454.21845945
10,50170845.850655206
11,86996009.06904876
12,69045930.0883085
13,54601295.50274012
14,74948092.36993721
15,68772383.08190705
