,sum
0,40838710.34819491
1,40868104.670544215
2,41082132.32853015
3,46124048.63997478
4,36026475.05222517
5,29645749.829800326
6,42273291.89176997
7,30452844.36259493
8,45783482.66836973
9,38978509.893030055
10,40054230.67893046
11,47708604.12041067
12,49086152.40611977
13,40164793.02448002
14,41169245.90799964
15,57760566.95839978
