,sum
0,9133024.45071995
1,8979587.140950074
2,10191418.714590153
3,11558888.573050074
4,11029556.057680113
5,8134598.5051001245
6,9870331.71194024
7,8508799.58197007
8,11130087.011160053
9,8275810.731550097
10,10892280.641120162
11,9775229.807960058
12,12123195.96847013
13,10465583.901659876
14,9312438.420690103
15,12882492.29616001
