,sum
0,50177016.20682444
1,67465094.25756209
2,54140966.32150779
3,88429281.94252981
4,52410945.28579802
5,39984517.91021864
6,72019658.90951723
7,48027396.1696544
8,61752615.63042638
9,59485023.85652213
10,58049884.08338042
11,77621060.5402351
12,73676300.20785967
13,60989865.80159122
14,71954336.58160673
15,84992144.98078264
